tweets,type,class
هذا جهدي معاك,neutral,dialectal
وعليكم السلام اي سرفيس مرحبا,positive,dialectal
 لا عندك الصحيح ,neutral,dialectal
وصف جميل,positive,standard
وانت من اهل الجزاء وصباح الخير بتوقيتي,positive,standard
وانت من اهله ,positive,standard
سلمت أناملك رائع هو قلمك قلمك سيال كم انت بهي بقلمك اتحفتنا بقلمك لقد وضعت القلم على الجرح شكرا على مرورك,positive,standard
 من شيمك الجميلة,positive,standard
 راني مزال كنتهلا فيه,neutral,dialectal
انا كنشجع الكرة معنديش مشكلة مع اي فريق وان يكن من مدغشقر يلعب كرة ممكن اتفرج فيه ولي كيقولو برشلونة مدريد الخ لا يعرفون كرة القدم ,neutral,dialectal
الصمت قرار جبان يتطلب أكبر قدر من الشجاعة,mixed,standard
أحس تعبير ممكن تنهي بيه أي جدال,positive,dialectal
راني عارف عندي الثقة فيك والله ,positive,dialectal
انا جاي على الطريق الساحلي ,neutral,dialectal
نتيجة لا تهمكم ,neutral,standard
ترحب بيك الجنة,positive,dialectal
صدقة لي ولكم,positive,standard
شكرا على التصحيح ,positive,standard
اخيرا جمال الشريف يظهر,neutral,standard
غير قالو ليهم زيدو لينا في الشهرية مبغاوش ,neutral,dialectal
 لا مكيجيش معاك القلق,neutral,dialectal
كل شيء اصبح مملآ والحياة تنقاد نحو الهلاك,negative,standard
لللاسف هاد الماتش لي كان غادي نتاهلو للدور المقبل ,negative,dialectal
التجارب تكون مؤلمة ان اخطات في حق شخص او فلن تستطيع ان تتعلم ان لم تندم على ذالك الفعل ,mixed,standard
انا كينفعني الندم باش مرة اخرى منكررهاش ومنندمش ,positive,dialectal
ٰ ليس من الضروري أن تعجب بجميع الناس ولكن الواجب عليك إحترامهم جميعا ,positive,standard
مبروك الله يوفقها و يسهل ليها الامور ,positive,dialectal
صحيح عندنا وجه واحد وكنبانو بيه لي بغانا هكا مرحبا به ولي مبغاناش الطريق طويلة يشدها ,neutral,dialectal
عندك الحق وخير دليل اليوفي والباييرن الكورة غدارة اليوم ,positive,dialectal
الاصل هو الاصل ,positive,standard
مول النية يربح بركة عليك هذا اوصافي ,positive,dialectal
الله يسر امورك,positive,standard
واسعدك الله في حياتك ,positive,standard
اودي والله الا المتعة فهاد الوقت وسمحو لينا على الازعاج ,positive,dialectal
متلقاش حسن من صباغتنا الحقيقية ,neutral,dialectal
كلشي زوين فهاد الوقت ,positive,dialectal
 كنت درتهالو هدية وعجبات ليه الاصل ديالو غير لوجه ديال طوغوموري ,positive,dialectal
انا ردتهالو بالمثل ,neutral,dialectal
خلق بعض الناس لصناعة التاريخ وخلق أخرون لعرقلة الأولين دون أن يعلموا أن ذاك هو قدرهم عرقلة صناع التاريح كي يشحذوا هممهم,mixed,standard
 لا منتقلقش منك ولا شي حد اخر غير جوابي كيكون حاد اوصافي وهاد الشيئ اسف عليه وارجو ان تحسنو الظن ومتهربوش من تغريداتي ,neutral,dialectal
 انت خليك بعيد ,neutral,dialectal
احبك في الله يا ولد بلادي ,positive,standard
هاهو عشائي اليوم ,neutral,standard
 هادي احسن,positive,dialectal
 الصورة تشرح كل شيئ,neutral,standard
اوا كل واحد والذوق ديالو وكل واحد والطريقة لي كتعحب ليه انا كيعجبني متعة الذوق فهاد اتاي منقدرش نبدلو ,positive,dialectal
الحاقد يفرح بخطئك ويسيء الظن بحسنتك فلا تنتظر منه شكرا ولا تأمن منه شرا,mixed,standard
نحن لا نعبد البشر ولكن نعرف قيمة وقيم وقامة الرجال الرجال,positive,standard
الله يبارك فيك خويا ابوليناس ديما كاين المعنى من المعنويات وخا شي خطرات خارج النطاق ,positive,dialectal
ويبقى الحال على ماهو,neutral,standard
ديما مرتاح ,positive,dialectal
كرامة حرية عدالة اجتماعية من الشعارات المرفوعة الان بالرباط من طرف اساتذة التعاقد قرب مدخل تواركة بالرباط,neutral,standard
الرباط القوات العمومية تفرق مسيرة لاساتذة التعاقد بخراطيم المياه من امام مدخل تواركة,neutral,standard
واش حتى المتقاعدين لي مشاركين فالاضراب اليوم حتى هما غادي تقتاطع ليهم الحكومة ,neutral,dialectal
مبادرة جيدة نتمنى ان يدوم التواصل بين المديرية و المواطنين,positive,standard
برافو الاصدقاء و الصديقات بفرع تمارة لجمعية باطلاق الاذاعة الجمعوية بمدينة تمارة هنيئا لنا بهذا المولود الجديد و كل التوفيق في رسالتكم الإعلامية,positive,dialectal
الانفلات الامني بسلا ولى تيخلع شكون المسؤول على المصائب ,negative,dialectal
لسنا الوحيدين و لكن حنا الواعرين,positive,dialectal
هناك دوما اناس طيبين و رائعين يشعرونك بسمو الانسانية رغم فوارق اللغة و الانتماء و المعتقد شكرا لك صديقي على تلك المشاعر النبيلة,positive,standard
مواطن مغربي واعي و حر و كامل المواطنة,positive,standard
جيش الاحتلال الصهيوني يتهم قوات إيرانية في بإطلاق صواريخ على عدة مواقع الكيان الصهيوني,negative,standard
اعتذر روما تستحق تقصي البارصا الهدف الثالث فالطريق,mixed,dialectal
و انا اقرأ تعليقات المغاربة على منشور اشهاري لبنك تشاركي اسلامي يتبين بالملموس ان المغاربة اعتقدوا دائما ان هذه الأبناك هي مؤسسات خيرية ما فيهاش الربا و تتعطي الصدقة لوجه الله,neutral,dialectal
تعازي الحارة للصديقات و و و نعمة في وفاة جدتهن الله يبدل المحبة بالصبر,positive,dialectal
تسجيل نادر للمفكر المغربي المهدي بن عبود,neutral,standard
هذا عدد الحافلات الكهربائية التي ستقدم خدماتها بمدينة مراكش انطلاقا من الصيف المقبل,neutral,standard
مغربنا وطننا نحن فداه,positive,standard
و راني غير كنت تنضحك معاك بارطاجي كما تشار,neutral,dialectal
هدف رائع للوداد البيضاواوي في شباك العين الاماراتي,positive,standard
لقطة لا تصدق ولكنها حقيقة,positive,standard
صورة ممتازة,positive,standard
لكل افراد العائلة الكبيرة و الصغيرة اهدي اجمل المتمنيات,positive,standard
بمناسبة عيد الفطر المبارك نتقدم اليكم كن باحر التهاني و التبريكات و اعاده الله عليكم و على ذويكم بموفور الصحة,positive,standard
زوينين عندي سبعة,positive,dialectal
فين غبرتي توحشتك,positive,dialectal
نت واعر بزاف سامو قدوتي,positive,dialectal
شفت التويتات دولك اليوم روعة ,positive,dialectal
ايه اسيدي كتعجبو اللهجة,neutral,dialectal
 ايه التواضع دا,positive,dialectal
انك جد قريب لا تقلق ,positive,standard
متبقاش تدافع عليه راه منو الخطأ,negative,dialectal
ديما رابح,positive,dialectal
كولشي باغي فيك الخدمة ,negative,dialectal
الله افرحك يا بو قلب طيب ,positive,dialectal
مبروك ا بالتوفيق إنشاء الله يا فنان ,positive,standard
رد البال في اي وقت تقدر تجي فيك الدقة,mixed,dialectal
الحمد الله وانت فين غبورك,positive,dialectal
حتى انا مخلوعة منها الله استر ,negative,dialectal
حتى انا منقدرش,neutral,dialectal
حافظ سوارك,neutral,dialectal
اهلا بصاحب القيلولة,positive,standard
الله احفظك الولد الخير ,positive,standard
انا بديت الاسبوع لي فات عاد كملت عييت بالتحاليل,neutral,dialectal
امين ميكون باس عندك انا الحمد الله فلت ,positive,dialectal
إنشاء الله خير خويا القايد,positive,dialectal
شكرا فوجتيها عليا,positive,dialectal
الله كيلطف بينا الحمد الله ,positive,dialectal
الله احفظك سي يونس وخلي ليك ما اعز عندكصباحك مبروك صديقي,positive,dialectal
صحيح حتى حاجة مكتستاهل سي حسن مساء الانوار ,neutral,dialectal
حزينة بزاف وصلت الحد الاقصى ,negative,dialectal
جاهلة هدي محال تكون ولداتو,negative,dialectal
داكشي لي بغينا شكرا ,positive,dialectal
مزيان ملي تكون المعنويات مرتفعة اليوم كيدوز زوين انا الحمد الله كل تمام,positive,dialectal
هدي عامين ونا كنستعمل هد الخطة,neutral,dialectal
ماشي كل الناس عندهم الوعي للاسف الشديد,negative,dialectal
الشخصية الصريحة,positive,standard
سير عطيني التساع ما متبعاك ما متبعني ا وقر عليك الناس,negative,dialectal
الله ارد بيك وزن هضرتك راك فتي الحدود,negative,dialectal
كولشي دايخ هد الايام,neutral,dialectal
عندو المهارة,positive,dialectal
عادل المسامحة صديقي,positive,dialectal
صباح الخيرات احبائي ,positive,standard
الجانب الثقافي قليل مكتستتمر فيه والدولة آخر همها,negative,dialectal
كاين الشباب ولكن إمكانيات معدومة,mixed,dialectal
بكل فرح اسيدي إنشاء الله,positive,standard
حتى انا توحشتك بزاف نقدر نجي فالرببع انشاء الله ,positive,dialectal
حتى حنا غير كنضحكو,positive,dialectal
راه عطيتك السميات لي اجيو معاك,neutral,dialectal
هد التصويرة جات واعرة يا فنان بصحتك أبا التراب,positive,dialectal
صافي مسكينة غدي تعقد فحياتها,negative,dialectal
الزهر ديالهم لا يعلا عليه,positive,dialectal
عيد ميلاد سعيد الله احفظو,positive,dialectal
الله يحفظك و يعطيك الصحة,positive,dialectal
من الامور اللي كا تفقس فهاد البلد السعيد انعدام تواصل الدولة في شخص وزير الاتصال مع المواطن ما عطونا معلومات على فين وصل آفة انفلونزا الخنازير و ما عاودش ذكرو الحمى القلاعية كانت الامور تحت السيطرة مرحبا كانت خارج السيطرة نضاعفو الجهود,negative,dialectal
الله يوقف معاك آ الضرافات و يغلبك على الزمان,positive,dialectal
ما شفتي والو و لكن الحمد لله تعلمنا بزاف د الحوايج,positive,dialectal
عليك بالبصلة و العسل الحر شفاء من كل داء,neutral,dialectal
اختيارات الإمام روعة,positive,standard
الله اكبر نسولو فيه نديرو معاه الصواب,positive,dialectal
الله يجازيك بخير,positive,dialectal
هم السابقون و نحن اللاحقون,neutral,standard
غا نوصلو لهاد المرحلة,neutral,dialectal
نعقل عليهم كيف خلاقو كبرو تبارك الله ,positive,dialectal
واقيلا عندك الحق ,positive,dialectal
انا معنديش مشكل فالتعريف بهاد النوع ديال المبادرات بدون قراءة النوايا غي ميكونش التغليط,positive,dialectal
اودي غي دير مزيان و الرحيم الله,positive,dialectal
متافق معاك ,positive,dialectal
الله يعاونك و يكمل عليك بخير,positive,dialectal
بادرة طيبة و محمودة الله يرحم الفقيد و يسكنه فسيح جناته ,positive,standard
انا التدخل ديالي كان من باب النصح اعتبار سؤال على مهنة الاب تدخل شخصي و مس بحقوق الإنسان هذا هو العبث قبل متعطي الدروس فتسيير الموارد البشرية يكون عند شوية ديال الالمام بالتواصل العلاقاتي,mixed,dialectal
تحليل واعر ,positive,dialectal
اودي تنظن أن الهزالة لي دارت هادشي و الردائة,negative,dialectal
ثقافتي جد محدودة فهاد الميدان,neutral,dialectal
الله يوصلك على خير,positive,dialectal
امين ربي يخليك,positive,dialectal
 مانقدرش ,neutral,dialectal
اعرف انك تعرف ,neutral,standard
شكرا امين ,positive,standard
غير ضاحكة ,positive,dialectal
شكرا شكرا ,positive,standard
طبعا طبعا اكيد ,positive,standard
امين يا ربي واخا,positive,dialectal
واخا شكرا,positive,dialectal
الله يا ربي الله امين,positive,standard
امين شكرا,positive,standard
الله يجيب الشفا,positive,dialectal
امين شكرا ,positive,standard
امين و حتى نتي ,positive,dialectal
كانبقا نكحب حتى كانحس بالروح غادي تخرج المسامحة ا الخوت ,negative,dialectal
امين و ليك حتى نتا,positive,dialectal
عيد ميلاد سعيد عصام ,positive,standard
حب الله و الوالدين ,positive,standard
شكرا الله يحفظك,positive,dialectal
سمحولينا ,positive,dialectal
زوينة ,positive,dialectal
لا لا الله يحفظ,negative,dialectal
 ماتقولهاش,negative,dialectal
 الحمد لله,positive,standard
 ياك بعدا شكرا شكرا,positive,dialectal
ماضحكوش ,negative,dialectal
 هانيا بصحتك ,positive,dialectal
الله يحفظك,positive,dialectal
الله يخلي لينا المغرب ديالنا لي حسن من اوروبا ,positive,dialectal
 گاع واكلينها الله يشافي ,mixed,dialectal
والله مافهمت واش انا ف اوروبا و مافراسيش ,neutral,dialectal
امين ربي يخليك ,positive,dialectal
 خليها عالله و صافي,neutral,dialectal
الله يحفظك ,positive,dialectal
ياك بعدا اوا الحمد لله بالشفا ان شاء الله ,positive,dialectal
بالصحة ,positive,standard
ان بعض الظن اثم,neutral,standard
 عفوا مرحبا ,positive,standard
الله يجيب الشفا,positive,dialectal
صبر جميل,positive,standard
امين ميرسي و انت كيف حالك,positive,dialectal
لقد ضربني البرد و الحمد لله ,positive,dialectal
صباح الورد ختي ,positive,dialectal
صباح النور عقيد,positive,standard
هذا غير حلم واحد من بين احلام كثيرة ,neutral,dialectal
الله يشافيك ,positive,dialectal
الله يسخر ,positive,dialectal
الله يحفظك ,positive,dialectal
لقد ضربني البرد ,neutral,standard
ان شاء الله يتحقق ,positive,dialectal
ماكيناش مع الاسف,negative,dialectal
ان شاء الله ,positive,standard
غاتشجع الريال طبعا ياك ,positive,dialectal
الله يسلمك,positive,dialectal
غير الدنيا و صافي سول فيك الخير و الرباح ,positive,dialectal
ماقلتي خمس اسابيع ماقلتي خمس يام ,neutral,dialectal
فهمتي غلط ,negative,dialectal
صدقت,positive,standard
سمحولينا ,positive,dialectal
شكرا,positive,standard
بزاف,positive,dialectal
ان شاء الله ,positive,standard
الله يحفظك,positive,dialectal
ممكن تسامح الغريب بسهولة ولكن القريب اصعب بكثير ,mixed,standard
غزالة سوس ,positive,standard
الله يحفظك,positive,dialectal
الحقيقة مع الاسف ,negative,standard
الله يحفظك ,positive,dialectal
 الله يكبر بيك,positive,dialectal
مزيانة ,positive,dialectal
الله يحفظك ,positive,dialectal
 الله يكبر بيك,positive,dialectal
 استغفر الله العظيم,positive,standard
تماما,neutral,standard
زوين ,positive,dialectal
ديجا قريتها الله يخليكم لبعضياتكم و يخلي ليكم الوليدات و يرزقك ياسمين ,positive,dialectal
امين و انت ربنا يهديك,positive,standard
 فعايل و نص گالاك,positive,dialectal
حتى الراجا لاعبة اليوم,neutral,dialectal
سير الله يمسخك قول امين,negative,dialectal
وراني نصرت ختي ظالمة او مظلومة ,positive,dialectal
تستاهل ,positive,dialectal
عندي انا الحمد لله ,positive,dialectal
شكرا ,positive,standard
اتاي قالو مامزيانش للصحة ,neutral,dialectal
الى بقينا ف الحياة ,neutral,dialectal
بففف عيد ميلاد سعيد بعدا واخا معطلة ,positive,dialectal
عارفة ,neutral,dialectal
 شكرا لك اخ,positive,standard
بلى بلى لي تزادت ف الراس عندها قيمة ,neutral,dialectal
شكرا لك على هذه المعلومات القيمة,positive,standard
الله يحفظك ,positive,dialectal
والله ماعرت سولت راسي نفس السؤال و مالقيتش الجواب ,neutral,dialectal
الله يكمل عليها و عليك ,positive,dialectal
يا سلام روعة,positive,dialectal
اش هاد الباطل ,negative,dialectal
 الله يكبر بيك شكرا,positive,dialectal
 نعلي الشيطان و جمعة مباركة ,positive,dialectal
صافي ها انا نتفاءل ,positive,dialectal
هي ديال شي ف لابو ,neutral,dialectal
امين شكرا و لك بالمثل,positive,standard
تا هو الله يجيب ,neutral,dialectal
الله يكون ف العون حاسة بيك ,positive,dialectal
العفو ,positive,dialectal
الله يسخر ليك و بلا ازمة ا سيدي ,positive,dialectal
لا لا عسل عسل ,positive,standard
استغفر الله العظيم,positive,standard
الله يسخر ليك,positive,dialectal
يقلب ومايستسلمش و غادي يلقا ان شاء الله ,positive,dialectal
سمحي لينا نتي مانعاودوش,positive,dialectal
الله يسر للجميع ,positive,standard
ماتعيرش الله يخليك المهم هو الاخلاق و الهندسة ,positive,dialectal
واخا ا سيدي,positive,dialectal
 الله يحفظك,positive,dialectal
استغفر الله اختاه,positive,standard
وراني عرفت ,neutral,dialectal
الله يكبر بيك,positive,dialectal
شكرا ,positive,standard
ان شاء الله,positive,standard
الله يحفظك ماعنديش فكرة والله اعلم عموما شكرا بزاف جواد,positive,dialectal
ان شاء الله,positive,standard
اوك جواد شكرا,positive,dialectal
شي شهر عسل هنا ,positive,dialectal
 يا اسطورة انت,positive,dialectal
اوا صافي هي متافقين ,positive,dialectal
 ماتفقصنيش ,negative,dialectal
الله يسر ليك,positive,dialectal
 وي راك شاد الحساب الحمد لله,positive,dialectal
 اوا الله يجيب الخير,positive,dialectal
نعم قلت شكرا ,positive,standard
مرحبا ياكما كاين باس,neutral,dialectal
صباح الخير,positive,standard
الله يحفظك ,positive,dialectal
 على سلامتك,positive,dialectal
مرحبا ,positive,standard
ماعرفتش ,neutral,dialectal
 ناشط و عايش اللحظة ,positive,dialectal
نتا تعرف كثر طبعا,positive,dialectal
صباح الخير و سنة سعيدة مليئة بالحب و النجاح ليكم جميعا ,positive,standard
امين,positive,standard
مشاكل الله يصاوب و صافي ,mixed,dialectal
الله يكون ف العون غير حاولي راك زوينة خارجيا و داخليا ,positive,dialectal
رجوع الله ا ختي استغفري مولانا كلنا كانشوفو فراسنا غير العيوب و كانشوفو ف الاخرين غير الزوين خاصك غير تعرفي بلي كل واحد زوين بطريقتو لي مختلفة على الاخرين و كاتميزو,positive,dialectal
امين شكرا,positive,dialectal
طبعا طبعا ,positive,standard
الله يكملك بعقلك,positive,dialectal
ماشي نتي,neutral,dialectal
تا حد مابقا يحشم هنا ,negative,dialectal
 ربنا يخليك,positive,dialectal
لا نتي مابقيتيش عاجباني ,negative,dialectal
 الله يعطينا وجهك,neutral,dialectal
اذهبو الى الجحيم ,negative,standard
صباحكم مبروك ,positive,standard
شكرا,positive,standard
 الله يعطيك الصحة,positive,standard
الله يعطيك الصحة,positive,standard
اوا حتى انت صبرت راسي ,neutral,dialectal
كيفاش عند البناية ,neutral,dialectal
 ان شاء الله,positive,standard
بالصحة و الراحة الحليب درتو حيت ماعنديش لاكخيم فخيش ,positive,dialectal
شكرا ,positive,standard
 المسامحة,positive,standard
 الله يحفظك,positive,dialectal
ماشي كلهم ماتعممش ,neutral,dialectal
رأيي المتواضع عطيتو,positive,dialectal
شكرا على المعلومة ,positive,standard
بارك الله فيك ,positive,standard
هو عزيز عليه و نتي ماشي من العاگزين جبتي ليه ,neutral,dialectal
الله يبارك فيك,positive,standard
بالصحة ,positive,standard
مرحبا ,positive,standard
ان شاء الله ,positive,standard
 ان شاء الله ,positive,standard
و باش يكمل هاد الصباح نسمعو لفيروز,positive,dialectal
الله يكمل بيخير ,positive,dialectal
استغفر الله العظيم ,positive,standard
بصحتك و راحتك ,positive,dialectal
كاينين مرحبا ,positive,dialectal
مرحبا بيك ,positive,dialectal
مرحبا بيك ,positive,dialectal
الله يسامح قلبي بيض و دغيا كانسى ,positive,dialectal
الله يحفظك مرحبا بيك ,positive,dialectal
 احسن بكثير ,positive,standard
صباح الخير زوينين بون ويكاند ,positive,dialectal
 تصبح على خير ا دكتور ,positive,dialectal
اهتمام احترام وفاء,positive,standard
ناري ناري سمح لينا عيد ميلاد سعيد باشما تمنيتي ان شاء الله ,positive,dialectal
نعم ,positive,standard
والله الى بصح,neutral,dialectal
ان شاء الله داكشي لي خاصني ندير ,positive,dialectal
لقد وقعنا في الفخ للأسف,negative,standard
تماما,positive,standard
عفوا ,positive,standard
بالصحة و الراحة ذوقك لابأس به ,positive,dialectal
امين ,positive,standard
الحب هاداك ,positive,dialectal
حتى انا ,neutral,dialectal
راه ديك الغيرة هي فين بقات و انا شخصيا اؤمن انه ماكاينش حب بدون غيرة,positive,dialectal
فرحتلك يا حبيبتشي ربنا يتمم بيخير ,positive,dialectal
الله يا ربي الله البنت ضاعت منا ,negative,dialectal
شكون سعيد الحظ و ماعرضتيني گاع ,positive,dialectal
امين و انت كذلك,positive,standard
 الله يحفظك,positive,dialectal
مرحبا ,positive,standard
امين,positive,standard
 الله يحفظك علينا و عليك,positive,dialectal
علينا و عليك ,positive,standard
الله يبارك فيك و لك كذلك,positive,standard
اش كاتعني ديك العبارة,neutral,dialectal
لا ماعرفتش اش كاتعني,neutral,dialectal
شفتك عطيتيني غا العرب ,neutral,dialectal
 الله يحفظك,positive,dialectal
هادوك مراض و صافي,negative,dialectal
عجباتني هادي ان شاء الله ,positive,dialectal
عندك الصح,positive,dialectal
صباحك مبروك,positive,standard
الله يكبر بيك ,positive,dialectal
الحمد لله عليها نعمة لمن كنت غانبقا نتشكا منهم كون ماكنتوش ,positive,dialectal
اه دابا فهمت,neutral,dialectal
اودي ماشي تا ف شركة هادشي خلي عالله,negative,dialectal
ه عارفينك رجل مواقف ا سي العلالي,positive,dialectal
واييه ندمني ,negative,dialectal
تيقتك تيقتك,positive,standard
مافيها باس مافيها باس,positive,dialectal
امين,positive,standard
واحد خدام معايا قلت ليه عافاك صاوب ليا واحد اللعبة ف لاكليم الفوق حيت ماوصلتش و هو طويل قاليا انا انجنيور مانقيصش داكشي كل واحد و الاختصاصات ديالو شوفي لي مكلف بداكشي ,neutral,dialectal
و يحفظك حبيبي ,positive,dialectal
الحقيقة و صافي ,positive,dialectal
صباحك ابرك احسن آية ف العالم ,positive,standard
صباح النور ,positive,standard
 داكشي لي كاين الله يكمل بيخير ,positive,dialectal
 بلا مانوصيك اذن الله يداوم المحبة,positive,dialectal
 للناس في الحب مذاهب اللهم زد و بارك,positive,dialectal
 عجباتني طريقة التفكير ديالك ,positive,dialectal
 واخا ا لالة المهم نحن في الخدمة في اي وقت ,positive,dialectal
فاسة و سواسة عجيب الله يخليكم لبعض و يداوم المحبة,positive,dialectal
 طبعا لا عادي,neutral,dialectal
شكرا ,positive,standard
عندو الحق ,positive,dialectal
ربي يخليك شكرا,positive,dialectal
و يومك اسعد عفاف ,positive,standard
هاد اليامات راه كولشي كانفهمو غلط غير صبرو عليا ,neutral,dialectal
مرحبا نورتو المكان ,positive,dialectal
اللحية د النبي هاهي و اخلاق النبي فيناهي,neutral,dialectal
 صباح الخير,positive,standard
 اوا الحمد لله ,positive,dialectal
 راه غير بغيت ندير فيها عميقة و ماصدقاتش ,neutral,dialectal
سؤال في محله والله العظيم,positive,standard
يا رب ,positive,standard
وليت كانكره الويكاند كون غير يخليوني نفيق وقتما بغيت و نخدم,negative,dialectal
ماكنتفرجش ولكن ان شاء الله تربح الوداد ,positive,dialectal
اوا هي بيقناا تماا ,neutral,dialectal
بعيد ,neutral,standard
صباح النور ,positive,standard
والو بالصحة,positive,dialectal
امين و ليك حتى نتي ,positive,dialectal
امين ا ختي ,positive,standard
بسم الله,positive,dialectal
بغيت نمشي نفطر حدا البحر ,neutral,dialectal
شكرا لهلا يخطيك ,positive,dialectal
الله يعطيكم ماكتمناو جميعا ,positive,dialectal
شكرا شكرا بقا تعطيني بحال هاد النصائح القيمة راني في حاجة اليها ,positive,dialectal
سوف افعلها و سوف تندمون ,neutral,standard
 الواحد هو لي يطلبها كبيرة ,neutral,dialectal
 ناري عاوتاني شفتيني,neutral,dialectal
حق مولانا,positive,dialectal
انا غي دريويشة ,positive,dialectal
لا لا ماكاينش داكشي غير كذبو عليك,neutral,dialectal
صافي سير ماصدقتيش ,negative,dialectal
ربي يخليك,positive,dialectal
انا لا أقدر بثمن ,positive,standard
اودي لي طيب القلب غير كاياكل العصا هاد الوقت ,mixed,dialectal
صافي مابغيتش الصداق انا گاع ,neutral,dialectal
راه الصحافة و البوليس تاهما مواطنين لي صور مريض و لي بارطاجا مريض ماكاين تا فرق,negative,dialectal
شدوه البوليس واخا و علاش عباد الله كاتصور فيه و تبارطاجيه علاش يبارطاجيو لاكارط ناصيونال ديالو الخ,neutral,dialectal
النهي كايدار بينك و بين الشخص و بالتي هي احسن بغا ياخد بنصيحتك هو هاداك مابغاش ضير راسو ماعندك تا شي حق لا ف الدين لا ف القانون انك تفضحيه,positive,dialectal
هنيئا ليك ,positive,dialectal
مسلمين الاسلام كايقوليك تفضحي عباد الله و تشوهيهم ,negative,dialectal
باشمن حق كاتپارطاجيو تصاور و هوية هاداك الشخص اي واحد كايبارطاجي هاداكشي يعرف راسو مريض و ماكاين تا فرق بينو و بين هادوك لي قطعو الريوس غير كلا واحد و كيفاش كايظهر المرض ديالو واااااااااا دخلو سوق روسكم ا عباد الله واك واك كلا يديها فراسو ,negative,dialectal
 بصحتك غرت ,positive,dialectal
اللهم يسر سنة سعيدة,positive,standard
 واخا سنة سعيدة ,positive,dialectal
يالاه بدات عندي السيمانة الاربعاء بنكهة الاثنين ,positive,dialectal
صباحكم مبروك ,positive,standard
على سلامتك ان شاء الله خير تفاءلوا خيرا تجدوه ,positive,dialectal
ميرسي سنة سعيدة عليك حتى نتي ان شاءالله ,positive,dialectal
سنة سعيدة ,positive,standard
امين ربي يخليك ,positive,dialectal
تماما الله يكملك بعقلك,positive,dialectal
 صافي ,neutral,dialectal
الحمد لله سول فيك الخير,positive,dialectal
 حشمتي تقولها نيشان الله يحفظك ,positive,dialectal
علاش ياك اودي لاباس ,neutral,dialectal
 منطقي داكشي ,positive,dialectal
مازال مادوزت عام ف الرباط حتى نص عام باقي ماكاملش,neutral,dialectal
اكيد ,positive,standard
الله يحفظك ,positive,dialectal
كانحس براسي تبدلت من داك العام لهاد العام سعاد ديال ماشي هي ديال نهائيا ان شاء الله احسن و احسن ,positive,dialectal
داكشي لي كاين سنة سعيدة باشما تمنيتي ,positive,dialectal
ماكاينش لي تسوق ليا ماكاين باس تهلاو ,mixed,dialectal
سنة سعيدة ليكم كاملين الله يزرقكم ماتمنيتو و يفرحكم حاولو تستغلو هاد النهار الاخير ف و ماتخليو تا واحد مقلق منكم و تبداو العام الجديد صفحة بيضاء مع الجميع ,positive,dialectal
 هانيا الله يحفظك,positive,dialectal
امين بارك الله فيك,positive,standard
امين,positive,standard
بديتها بداية خايبة بزاف باقة عاقلة على داك نهار كحل موراها مرضت كثر من شهر من بعد تبدلو بزاف د الحوايج بديت خدمة جديدة ف مدينة جديدة عرفت ناس جداد واخا ماشي كلهم صدقو ولكن لي دازت على الراس تنفع ان شاء الله تكون احسن ,mixed,dialectal
ان شاء الله و حتى نتا الله يعطيك ماتمنى,positive,dialectal
صافي دابا خسرتيها مابقا عندك ماتعتق,negative,dialectal
صافي نتا غير سكت ,negative,dialectal
 صافي موافقة,positive,dialectal
صافي هي لي ماتعاود ,positive,dialectal
الله يحفظك ليا صافي تقت ,positive,dialectal
الله عليكي يا عايشة ,positive,dialectal
الله يحفظك ,positive,dialectal
صافي ماكاين غير تفاؤل ,positive,dialectal
تماما ,positive,standard
الحمد لله ,positive,standard
ه امين ,positive,standard
مزيان ,positive,dialectal
أستغفر الله العظيم و أتوب إليه,positive,standard
الله يعاونك,positive,dialectal
اوا جي مرحبا ,positive,dialectal
صباحكم مبروك ,positive,standard
 رب زدني علما,positive,standard
اللهم زد و بارك,positive,standard
مايكون باس,positive,dialectal
تبارك الله,positive,standard
ماشي بزاف ,positive,dialectal
ديما الحقيقة كاتكون قاصحة ,mixed,dialectal
 بالتوفيق,positive,standard
هنيئا لك,positive,standard
هنيئا,positive,standard
من حسن الى احسن ,positive,standard
هنيئا,positive,standard
اللهم زد وبارك,positive,standard
حالتك مستعصية,negative,standard
ضميرك مرتاح ,positive,standard
كلك ذوق شكرا,positive,standard
 بالصحة و الراحة ا سيدي,positive,dialectal
هاد اليامات مابقاتش عندي الشهية مابقيت كاناكل والو ,neutral,dialectal
تماما متفقة معاك ,positive,dialectal
سؤال في محله ,positive,standard
احترمك كثيرا وأطلب من الله ان يوفقك في حياتك العلمية والعملية فتاة مثقفة مرحة دام لك الالق — امين بارك الله فيك,positive,standard
بقيتو كاتهدرو على ال قلت نمشي نسمع دعيتكم الله ,negative,dialectal
الله يسلمك ,positive,standard
تا انا كتعجبيني ا سعاد ه — اليوم العالمي للاعجاب ,positive,dialectal
تماما لي درتيها تسناها سواء خايبة ولا زوينة ,positive,dialectal
واقيلة الاسهل هو نعرفو لي ماشي ولد الناس ديك الساعة غانستنتجو تعريف ولد الناس نديرو داكشي ديال الماط ,positive,dialectal
الله يحفظك ,positive,dialectal
صباح الخير و نهاركم مبروك ,positive,standard
الله يسلمك,positive,standard
وبي يخليك شكرا ,positive,dialectal
الله يحفظك ,positive,dialectal
الله يسلمك ,positive,standard
الله يبارك فيك ,positive,dialectal
